,sentence
44,"Bos output: ['Die Deutsche Buddhistische Union geht etwa 270', '000 Buddhisten Deutschland aus', ' Die Hälfte davon eingewanderte Asiaten', ' Dies entspricht 0,3 Prozent Bevölkerung'] ### Input: Die Deutsche Buddhistische Union geht von etwa 270.000 Buddhisten in Deutschland aus. Die Hälfte davon sind eingewanderte Asiaten. Dies entspricht 0,3 Prozent der Bevölkerung. EOS"
45,"Bos output: ['Insoweit Gerichte Bundes zuständig sind, Rechtsprechung Gerichte Länder ausgeübt '] ### Input: Insoweit keine Gerichte des Bundes zuständig sind, wird die Rechtsprechung durch Gerichte der Länder ausgeübt . EOS"
46,"Bos output: ['Der Bundeskanzler Vorschlag Bundespräsidenten Bundestag Mehrheit Mitglieder gewählt , Amtszeit endet Wahlperiode Bundestages ', ' Vor deren Ablauf Bundeskanzler Willen dadurch Amt scheiden, Bundestag Mehrheit Mitglieder Nachfolger wählt ', ' Die Bundesminister Vorschlag Bundeskanzlers ernannt , Bundeskanzler bilden Bundesregierung , deren Richtlinienkompetenz Bundeskanzler innehat ', ' Die Führungsaufgabe deutschen „Kanzlerdemokratie“ kommt Bundeskanzler zu', ' Der Kanzler nominiert deutschen Kandidaten Amt EU-Kommissars'] ### Input: Der Bundeskanzler wird auf Vorschlag des Bundespräsidenten vom Bundestag mit der Mehrheit seiner Mitglieder gewählt , seine Amtszeit endet mit der Wahlperiode des Bundestages . Vor deren Ablauf kann der Bundeskanzler gegen seinen Willen nur dadurch aus dem Amt scheiden, dass der Bundestag mit der Mehrheit seiner Mitglieder einen Nachfolger wählt . Die Bundesminister werden auf Vorschlag des Bundeskanzlers ernannt , sie und der Bundeskanzler bilden die Bundesregierung , deren Richtlinienkompetenz der Bundeskanzler innehat . Die Führungsaufgabe in der deutschen „Kanzlerdemokratie“ kommt dem Bundeskanzler zu. Der Kanzler nominiert auch den deutschen Kandidaten für das Amt eines EU-Kommissars. EOS"
47,Bos output: ['1989/90 fielen Mauer eiserne Vorhang; 1990/91 zerfielen Ostblock Sowjetunion'] ### Input: 1989/90 fielen die Mauer und der eiserne Vorhang; 1990/91 zerfielen der Ostblock und die Sowjetunion. EOS
48,"Bos output: ['Die Kommunalverwaltung obliegt größeren Städten mehreren hunderttausend Einwohnern Municipal Corporations, kleineren Städten Municipalities', ' Im ländlichen Raum dreistufige Panchayati Raj angewandt', ' Dieses System umfasst gewählte Räte Dorf- Block-, Distriktebene', ' Die Zuständigkeiten Kommunalverwaltungen je Bundesstaat unterschiedlich gestaltet'] ### Input: Die Kommunalverwaltung obliegt in größeren Städten mit mehreren hunderttausend Einwohnern den Municipal Corporations, in kleineren Städten den Municipalities. Im ländlichen Raum wird der dreistufige Panchayati Raj angewandt. Dieses System umfasst gewählte Räte auf Dorf- und Block-, aber auch auf Distriktebene. Die Zuständigkeiten der Kommunalverwaltungen sind je nach Bundesstaat unterschiedlich gestaltet. EOS"
49,"Bos output: ['Bei IPv4 erhalten oft viele Arbeitsplatzrechner Netzwerk Firma Organisation private IP-Adressen, außen gerichteter Kommunikation per Network Address Translation wenige öffentliche, global eindeutige IP-Adressen übersetzt werden', ' Auf Rechner Internet nicht direkt zugegriffen werden, meistens Sicherheitsgründen erwünscht , offensichtliche Nachteile hat', ' Für IPv6 stehen erheblich mehr öffentliche Adressen Verfügung, laut RFC 4864 NAT verzichtet Filterung Datenverkehrs mehr Möglichkeiten'] ### Input: Bei IPv4 erhalten oft viele Arbeitsplatzrechner in dem Netzwerk einer Firma oder Organisation private IP-Adressen, die bei nach außen gerichteter Kommunikation per Network Address Translation auf wenige öffentliche, global eindeutige IP-Adressen übersetzt werden. Auf diese Rechner kann aus dem Internet nicht direkt zugegriffen werden, was meistens zwar aus Sicherheitsgründen erwünscht ist , aber auch offensichtliche Nachteile hat. Für IPv6 stehen erheblich mehr öffentliche Adressen zur Verfügung, so kann laut RFC 4864 auf NAT verzichtet werden und die Filterung des Datenverkehrs hat mehr Möglichkeiten. EOS"
50,Bos output: ['2017 88 Prozent Bevölkerung Internetzugang; etwa 87 Prozent konnten dabei Breitbandanschluss zurückgreifen'] ### Input: 2017 hatten 88 Prozent der Bevölkerung einen Internetzugang; etwa 87 Prozent konnten dabei auf einen Breitbandanschluss zurückgreifen. EOS
51,"Bos output: ['Deutschland gehört vollständig gemäßigten Klimazone Mitteleuropas Bereich Westwindzone befindet Übergangsbereich Seeklima Westeuropa Kontinentalklima Osteuropa', ' Das Klima Deutschland Golfstrom beeinflusst, durchschnittliche Temperaturniveau Breitenlage ungewöhnlich hoch ist'] ### Input: Deutschland gehört vollständig zur gemäßigten Klimazone Mitteleuropas im Bereich der Westwindzone und befindet sich im Übergangsbereich zwischen dem Seeklima in Westeuropa und dem Kontinentalklima in Osteuropa. Das Klima in Deutschland wird unter anderem vom Golfstrom beeinflusst, durch den das durchschnittliche Temperaturniveau für die Breitenlage ungewöhnlich hoch ist. EOS"
52,Bos output: ['Die aktuelle Fahrzeuglackierung meisten Polizeien verkehrsblau Verbindung silber weiß'] ### Input: Die aktuelle Fahrzeuglackierung der meisten Polizeien ist verkehrsblau in Verbindung mit silber oder weiß. EOS
53,"Bos output: ['Spezialeinheiten deutschen Polizeien Mobilen Einsatzkommandos Spezialeinsatzkommandos Landespolizeien sowie GSG 9, Beweissicherungs- Festnahmeeinheit Plus Bundespolizei'] ### Input: Spezialeinheiten der deutschen Polizeien sind die Mobilen Einsatzkommandos und Spezialeinsatzkommandos bei den Landespolizeien sowie die GSG 9, die Beweissicherungs- und Festnahmeeinheit Plus bei der Bundespolizei. EOS"
54,"Bos output: ['Nach rassistischen Bevölkerungspolitik NS-Regimes fristete Demografie Deutschland lange Schattendasein, galt Untersuchung gar Beeinflussung reproduktiven Verhaltens moralisch bedenklich'] ### Input: Nach der rassistischen Bevölkerungspolitik des NS-Regimes fristete die Demografie in Deutschland lange ein Schattendasein, galt die Untersuchung oder gar Beeinflussung reproduktiven Verhaltens doch als moralisch bedenklich. EOS"
55,"Bos output: ['Der Nationalsozialismus pervertierte Recht Mittel Gewaltherrschaft, wofür Terrorurteile Volksgerichtshofs, Nürnberger Gesetze zahlreiche weitere Rechtsakte stehen, erst alliiertes Besatzungsrecht, nicht-deutsche Rechtsquelle, aufgehoben wurden', ' Auch Besatzungsrecht seinerseits fünf Bundesgesetzen aufgehoben wurde Bestimmungen weitestgehend Eingang deutsches Recht fanden, deutsche Rechtspflege heutigen Tag Wiederherstellung nationalsozialistischen Unrechtsstaat zerschlissenen Rechts bemüht', ' Beispielsweise Zeit Nationalsozialismus stammende strafrechtliche Definition Mord deutschen Rechtspflegern umstritten', ' Die Dritten Reich verschärfte Fassung § 175 führte Bundesrepublik ausgedehnten Verfolgung Homosexualität; wurde erst 1969 reformiert 1994 Strafgesetzbuch gestrichen'] ### Input: Der Nationalsozialismus pervertierte das Recht zum Mittel der Gewaltherrschaft, wofür die Terrorurteile des Volksgerichtshofs, die Nürnberger Gesetze und zahlreiche weitere Rechtsakte stehen, welche erst durch alliiertes Besatzungsrecht, eine nicht-deutsche Rechtsquelle, wieder aufgehoben wurden. Auch wenn das Besatzungsrecht seinerseits in fünf Bundesgesetzen wieder aufgehoben wurde und seine Bestimmungen weitestgehend Eingang in deutsches Recht fanden, ist die deutsche Rechtspflege bis zum heutigen Tag um die Wiederherstellung des vom nationalsozialistischen Unrechtsstaat zerschlissenen Rechts bemüht. Beispielsweise ist die aus der Zeit des Nationalsozialismus stammende strafrechtliche Definition von Mord unter deutschen Rechtspflegern umstritten. Die im Dritten Reich verschärfte Fassung des § 175 führte auch in der Bundesrepublik zu einer ausgedehnten Verfolgung von Homosexualität; er wurde erst 1969 reformiert und 1994 aus dem Strafgesetzbuch gestrichen. EOS"
56,"Bos output: ['Nachdem Deutsche Reich 1', ' September 1939 Überfall Polen begonnen hatte, erklärten Großbritannien, Kanada, Australien, Indien, Neuseeland, Südafrika Frankreich Deutschland Krieg', ' Der Zweite Weltkrieg forderte sechs Jahren etwa 55 60 Millionen Tote', ' Deutschland gelangen zunächst „Blitzkrieg“ bezeichnete militärische Erfolge', ' Polen wurde Nichtangriffspakt Hitler Stalin aufgeteilt, Wehrmacht warf anschließend Armeen Westen, überfiel „Weserübung“ Dänemark Norwegen „Westfeldzug“ neutralen Staaten Luxemburg, Belgien Niederlande besetzte 1940 innerhalb sechs Wochen große Teile Frankreichs', ' Hitlers Popularität erreichte Höhepunkt'] ### Input: Nachdem das Deutsche Reich am 1. September 1939 den Überfall auf Polen begonnen hatte, erklärten Großbritannien, Kanada, Australien, Indien, Neuseeland, Südafrika und Frankreich Deutschland den Krieg. Der Zweite Weltkrieg forderte in sechs Jahren etwa 55 bis 60 Millionen Tote. Deutschland gelangen zunächst einige als „Blitzkrieg“ bezeichnete militärische Erfolge. Polen wurde im Nichtangriffspakt zwischen Hitler und Stalin aufgeteilt, die Wehrmacht warf anschließend ihre Armeen nach Westen, überfiel in der „Weserübung“ Dänemark und Norwegen und im „Westfeldzug“ die neutralen Staaten Luxemburg, Belgien und Niederlande und besetzte 1940 innerhalb von sechs Wochen große Teile Frankreichs. Hitlers Popularität erreichte ihren Höhepunkt. EOS"
57,"Bos output: ['Der Bundeskanzler Regierungschef Bundesregierung', ' Er Abgeordneten Bundestages gewählt', ' Hinter steht meist absolute Mehrheit Abgeordneten, meist Koalition entsteht Kanzlermehrheit bezeichnet wird', ' Die Bundesminister Vorschlag Bundeskanzlers Bundespräsidenten ernannt entlassen', ' Der Bundeskanzler besitzt Grundgesetz Richtlinienkompetenz, bestimmt Grundzüge Bundespolitik', ' Er Ablauf Amtszeit konstruktives Misstrauensvotum abgelöst Vertrauensfrage Auflösung Bundestags herbeiführen'] ### Input: Der Bundeskanzler ist der Regierungschef der Bundesregierung. Er wird durch die Abgeordneten des Bundestages gewählt. Hinter ihm steht meist eine absolute Mehrheit der Abgeordneten, die meist durch eine Koalition entsteht und als Kanzlermehrheit bezeichnet wird. Die Bundesminister werden auf Vorschlag des Bundeskanzlers vom Bundespräsidenten ernannt und entlassen. Der Bundeskanzler besitzt nach dem Grundgesetz die Richtlinienkompetenz, bestimmt also die Grundzüge der Bundespolitik. Er kann vor Ablauf seiner Amtszeit nur durch ein konstruktives Misstrauensvotum abgelöst werden und durch eine Vertrauensfrage die Auflösung des Bundestags herbeiführen. EOS"
58,"Bos output: ['Ende 2015 lebten etwa 4,5 Millionen Muslime Deutschland', ' Ihr Anteil Gesamtbevölkerung beträgt circa 5,5 Prozent', ' Über Hälfte türkischen Migrationshintergrund, gut 17 Prozent kommen weiteren Vorderasien', ' Zwischen 2011 2015 kamen 1,2 Millionen Muslime neu Deutschland', ' Als Dachverband vielen islamischen Organisationen Ansprechpartner Außenstehende wurde Koordinierungsrat Muslime Deutschland gegründet'] ### Input: Ende 2015 lebten etwa 4,5 Millionen Muslime in Deutschland. Ihr Anteil an der Gesamtbevölkerung beträgt circa 5,5 Prozent. Über die Hälfte hat einen türkischen Migrationshintergrund, gut 17 Prozent kommen aus dem weiteren Vorderasien. Zwischen 2011 und 2015 kamen 1,2 Millionen Muslime neu nach Deutschland. Als Dachverband der vielen islamischen Organisationen und Ansprechpartner für Außenstehende wurde der Koordinierungsrat der Muslime in Deutschland gegründet. EOS"
59,"Bos output: ['In Form Territorialstaaten verselbstständigten zahlreiche Feudalherrschaften Lasten königlich-kaiserlichen Macht, nie stark ausgeprägt deshalb konsensuale Herrschaft Großen Reiches angewiesen war', ' Kaiser Heinrich VI', ' Ende 12', ' Jahrhunderts Versuch gescheitert, Erbreichsplan Erbmonarchie einzuführen', ' Während Westfrankenreich französischen Zentralstaat entwickelte, blieb ostfränkische römisch-deutsche Reich Landesherren Recht Königswahl geprägt', ' Mitte 13', ' Jahrhunderts setzte Heiligen Römischen Reich – Bezeichnung Sacrum Imperium wurde bereits 1157 gebraucht, Sacrum Imperium Romanum erstmals urkundlich gesichert 1184 belegt – Auffassung durch, Kollegium Kurfürsten Wahl Königs zustehe, Goldene Bulle 1356 verbindlich festgeschrieben wurde', ' Bis Ende Reiches 1806 blieb Reich somit formal Wahlmonarchie', ' Obwohl Kaiser wiederholt versuchten, Position stärken, blieb Reich supranationaler Verband vieler verschieden großer Territorien sowie Reichsstädte'] ### Input: In Form der Territorialstaaten verselbstständigten sich zahlreiche Feudalherrschaften zu Lasten der königlich-kaiserlichen Macht, die aber nie stark ausgeprägt gewesen und deshalb auf konsensuale Herrschaft mit den Großen des Reiches angewiesen war. Kaiser Heinrich VI. war Ende des 12. Jahrhunderts mit dem Versuch gescheitert, durch den Erbreichsplan die Erbmonarchie einzuführen. Während sich das Westfrankenreich zum französischen Zentralstaat entwickelte, blieb das ostfränkische oder römisch-deutsche Reich durch Landesherren und das Recht der Königswahl geprägt. Mitte des 13. Jahrhunderts setzte sich im Heiligen Römischen Reich – die Bezeichnung Sacrum Imperium wurde bereits 1157 gebraucht, Sacrum Imperium Romanum ist erstmals urkundlich gesichert 1184 belegt – die Auffassung durch, dass einem Kollegium von Kurfürsten die Wahl des Königs zustehe, was durch die Goldene Bulle 1356 verbindlich festgeschrieben wurde. Bis zum Ende des Reiches 1806 blieb das Reich somit formal eine Wahlmonarchie. Obwohl die Kaiser wiederholt versuchten, ihre Position zu stärken, blieb das Reich ein supranationaler Verband vieler verschieden großer Territorien sowie Reichsstädte. EOS"
60,"Bos output: ['Das geologisch junge Faltengebirge Alpen einzige Hochgebirge, Deutschland Anteil hat', ' Die deutschen Alpen, Gänze Bundesland Bayern befinden, weisen einzigen Gebirgsgipfel mehr 2000 m ü', ' NHN auf', ' Der Gipfel Zugspitze , Deutschland Österreich teilt, höchstgelegene Punkt Landes'] ### Input: Das geologisch junge Faltengebirge der Alpen ist das einzige Hochgebirge, an dem Deutschland Anteil hat. Die deutschen Alpen, die sich zur Gänze im Bundesland Bayern befinden, weisen die einzigen Gebirgsgipfel mit mehr als 2000 m ü. NHN auf. Der Gipfel der Zugspitze , den sich Deutschland mit Österreich teilt, ist der höchstgelegene Punkt des Landes. EOS"
61,Bos output: ['Die Verbreitung Telekommunikation Computern Indien heute starken Stadt-Land-Gefälle geprägt'] ### Input: Die Verbreitung von Telekommunikation und Computern ist in Indien auch heute noch von einem starken Stadt-Land-Gefälle geprägt. EOS
62,"Bos output: ['Die Exekutive Bundesrepublik Deutschland setzt Gesetze Verordnungen Staates um', ' Je Gesetzeslage besitzen Organe Exekutive Ermessenspielräume', ' Jeder Bürger Recht, Verwaltungsakte, konkretes Handeln Exekutive, betreffen, Verwaltungsgerichte überprüfen lassen', ' Die Exekutive insbesondere Grundgesetz gebunden', ' Jedem Bürger möglich, voll ausgeschöpftem Rechtsweg, Einzelfall Verfassungsbeschwerde Bundesverfassungsgericht einzureichen, staatliches Handeln Grundrechten verletzt fühlt', ' Mitglieder Exekutive Bundesebene beispielsweise Bundesregierung , Bundesbehörden deren Beamte, Bundespolizei, Bundesamt Verfassungsschutz, Bundeswehr Auswärtige Amt', ' Bundeskanzler Bundesminister bilden zusammen Bundesregierung Bundesrepublik Deutschland, umgangssprachlich oft Bundeskabinett genannt'] ### Input: Die Exekutive in der Bundesrepublik Deutschland setzt Gesetze und Verordnungen des Staates um. Je nach Gesetzeslage besitzen die Organe der Exekutive Ermessenspielräume. Jeder Bürger hat das Recht, die Verwaltungsakte, also konkretes Handeln der Exekutive, die ihn betreffen, durch die Verwaltungsgerichte überprüfen zu lassen. Die Exekutive ist insbesondere an das Grundgesetz gebunden. Jedem Bürger ist es möglich, nach voll ausgeschöpftem Rechtsweg, im Einzelfall Verfassungsbeschwerde vor dem Bundesverfassungsgericht einzureichen, wenn er sich durch staatliches Handeln in seinen Grundrechten verletzt fühlt. Mitglieder der Exekutive auf Bundesebene sind beispielsweise die Bundesregierung , Bundesbehörden und deren Beamte, die Bundespolizei, das Bundesamt für Verfassungsschutz, die Bundeswehr und das Auswärtige Amt. Bundeskanzler und Bundesminister bilden zusammen die Bundesregierung der Bundesrepublik Deutschland, umgangssprachlich auch oft Bundeskabinett genannt. EOS"
63,"Bos output: ['Ende 1939 Provinzen Frauenwahlrecht eingeführt', ' Zwar grundsätzlicher Fortschritt, Wahlrecht Grundeigentum gebunden', ' Da viele Inder Land besaßen, erhielten relativ wenige Männer weniger Frauen infolge Reformen 1919 Wahlrecht'] ### Input: Ende 1939 hatten alle Provinzen das Frauenwahlrecht eingeführt. Zwar war dies ein grundsätzlicher Fortschritt, doch das Wahlrecht war an Grundeigentum gebunden. Da viele Inder kein Land besaßen, erhielten relativ wenige Männer und noch viel weniger Frauen infolge der Reformen von 1919 das Wahlrecht. EOS"
64,"Bos output: ['Laut Forschungsbericht 2016 Auftrag Bundesministeriums Arbeit Soziales Deutschland politischen Entscheidungen Präferenzen sozialen Gruppen unterschiedlich stark berücksichtigt', ' Die Auswertung Daten Zeit 1998 2015 zeigt deutlichen Zusammenhang Einstellungen Personen höherem Einkommen, sogar negativen Zusammenhang Einkommensschwachen'] ### Input: Laut einem Forschungsbericht von 2016 im Auftrag des Bundesministeriums für Arbeit und Soziales werden in Deutschland bei politischen Entscheidungen die Präferenzen von sozialen Gruppen unterschiedlich stark berücksichtigt. Die Auswertung von Daten aus der Zeit zwischen 1998 und 2015 zeigt einen deutlichen Zusammenhang zu den Einstellungen von Personen mit höherem Einkommen, aber keinen oder sogar einen negativen Zusammenhang für die Einkommensschwachen. EOS"
65,"Bos output: ['International Internet verschiedene Staaten überwacht, kontrolliert teilweise gesperrt, etwa beim Teilen gesperrten Internet Volksrepublik China Aufbau Staat kontrollierbaren Internets Russland', ' Eine fallweise Sperre Internets Türkei Iran bekannt; Internet Demonstrationen ausgeschaltet'] ### Input: International wird das Internet durch verschiedene Staaten überwacht, kontrolliert und teilweise gesperrt, so etwa beim in Teilen gesperrten Internet in der Volksrepublik China oder Aufbau eines vom Staat kontrollierbaren Internets in Russland. Eine fallweise Sperre des Internets ist aus der Türkei oder Iran bekannt; dort wird das Internet während Demonstrationen ausgeschaltet. EOS"
66,"Bos output: ['Im westlichen Himalaya blühte 18', ' 19', ' Jahrhundert Pahari-Malerei', ' Auch hinduistischen Motiven beherrscht', ' Kennzeichnend Landschaftsdarstellungen wenigen Figuren'] ### Input: Im westlichen Himalaya blühte im 18. und 19. Jahrhundert die Pahari-Malerei. Auch sie wird von hinduistischen Motiven beherrscht. Kennzeichnend sind Landschaftsdarstellungen mit nur wenigen Figuren. EOS"
67,"Bos output: ['Der Naturraum Deutschland liegt gemäßigten Klimazone; West Ost kennzeichnet natürliche Vegetation Übergang Westseitenseeklima Kontinentalklima', ' Die Flora wäre menschlichen Einfluss hauptsächlich Laub- Mischwäldern geprägt, ausgenommen nährstoffarme trockene Standorte Felskuppen, Heideniederungen Moorlandschaften sowie alpinen subalpinen Hochlagen, äußerst vegetationsarm Klima kaltgemäßigt sind'] ### Input: Der Naturraum Deutschland liegt in der gemäßigten Klimazone; von West nach Ost kennzeichnet seine natürliche Vegetation den Übergang vom Westseitenseeklima zum Kontinentalklima. Die Flora wäre ohne menschlichen Einfluss hauptsächlich von Laub- und Mischwäldern geprägt, ausgenommen nährstoffarme oder trockene Standorte wie Felskuppen, Heideniederungen und Moorlandschaften sowie die alpinen und subalpinen Hochlagen, die äußerst vegetationsarm und in ihrem Klima kaltgemäßigt sind. EOS"
68,Bos output: ['Die Polizei vertritt Handeln Rechtsordnung Exekutive'] ### Input: Die Polizei vertritt bei ihrem Handeln die Rechtsordnung als Exekutive. EOS
69,Bos output: ['Die Bundesarbeitsgemeinschaft kritischer Polizistinnen Polizisten befasst rechtswidrigen Handlungen Polizeibeamten fordert Konsequenz Ausdehnung Kennzeichnungspflicht Polizisten Bundesländer'] ### Input: Die Bundesarbeitsgemeinschaft kritischer Polizistinnen und Polizisten befasst sich unter anderem mit rechtswidrigen Handlungen von Polizeibeamten und fordert als Konsequenz eine Ausdehnung der Kennzeichnungspflicht für Polizisten auf alle Bundesländer. EOS
70,"Bos output: ['Auf Gebiet Deutschlands Anwesenheit Menschen 500', '000 Jahren Funde Homo heidelbergensis sowie prähistorischer Kunstwerke späteren Altsteinzeit nachgewiesen', ' Während Jungsteinzeit, 5600 v', ' Chr', ', wanderten ersten Bauern mitsamt Vieh Saatgut Nahen Osten ein', ' Seit Antike lateinische Bezeichnung Germania Siedlungsgebiet Germanen bekannt', ' Das ab 10', ' Jahrhundert bestehende römisch-deutsche Reich, vielen Herrschaftsgebieten bestand, 1815 Leben gerufene Deutsche Bund liberale demokratische Bewegung Vorläufer späteren deutschen Gesamtstaates, 1871 Deutsches Reich gegründet wurde'] ### Input: Auf dem Gebiet Deutschlands ist die Anwesenheit von Menschen vor 500.000 Jahren durch Funde des Homo heidelbergensis sowie einiger prähistorischer Kunstwerke aus der späteren Altsteinzeit nachgewiesen. Während der Jungsteinzeit, um 5600 v. Chr., wanderten die ersten Bauern mitsamt Vieh und Saatgut aus dem Nahen Osten ein. Seit der Antike ist die lateinische Bezeichnung Germania für das Siedlungsgebiet der Germanen bekannt. Das ab dem 10. Jahrhundert bestehende römisch-deutsche Reich, das aus vielen Herrschaftsgebieten bestand, war wie der 1815 ins Leben gerufene Deutsche Bund und die liberale demokratische Bewegung Vorläufer des späteren deutschen Gesamtstaates, der 1871 als Deutsches Reich gegründet wurde. EOS"
71,"Bos output: ['Von sechs Strömen größten Einzugsgebieten entwässern Rhein, Elbe, Weser Ems Nordsee Oder Ostsee Atlantik, Donau Schwarze Meer fließt somit hydrographisch Mittelmeer zuzurechnen ist', ' Die Einzugsgebiete beiden Systeme europäische Hauptwasserscheide voneinander getrennt'] ### Input: Von den sechs Strömen mit den größten Einzugsgebieten entwässern Rhein, Elbe, Weser und Ems über die Nordsee und die Oder über die Ostsee in den Atlantik, während die Donau ins Schwarze Meer fließt und somit hydrographisch dem Mittelmeer zuzurechnen ist. Die Einzugsgebiete dieser beiden Systeme werden durch die europäische Hauptwasserscheide voneinander getrennt. EOS"
72,"Bos output: ['Mit Novemberrevolution Ausrufung Republik 9', ' November 1918 endete Deutsche Kaiserreich, Kapitulation Niederlage Ersten Weltkrieg einräumte', ' Nach Wahl verfassunggebenden Nationalversammlung – erstmals Frauen aktiv passiv wahlberechtigt – trat Weimarer Verfassung 14', ' August 1919 Kraft', ' Im Friedensvertrag Versailles wurden erhebliche Gebietsabtretungen, Alliierte Rheinlandbesetzung Reparationen Grundlage festgeschriebenen deutschen Alleinschuld Krieg bestimmt', ' Diese Ausgangslage belastete politische Klima; Rechtsextreme verbreiteten Dolchstoßlegende „Novemberverbrecher“, politischen Morden Putschversuchen führte ', ' Auch kommunistische Aufstände Ruhraufstand 1920, Märzkämpfe Mitteldeutschland 1921 Hamburger Aufstand 1923 sorgten Instabilität', ' Unzureichende Reparationsleistungen nahmen Belgien Frankreich Anlass Ruhrbesetzung 1923 1925'] ### Input: Mit der Novemberrevolution und der Ausrufung der Republik am 9. November 1918 endete das Deutsche Kaiserreich, das mit seiner Kapitulation die Niederlage im Ersten Weltkrieg einräumte. Nach der Wahl der verfassunggebenden Nationalversammlung – bei der erstmals Frauen aktiv und passiv wahlberechtigt waren – trat die Weimarer Verfassung am 14. August 1919 in Kraft. Im Friedensvertrag von Versailles wurden erhebliche Gebietsabtretungen, die Alliierte Rheinlandbesetzung und Reparationen auf Grundlage einer festgeschriebenen deutschen Alleinschuld am Krieg bestimmt. Diese Ausgangslage belastete das politische Klima; Rechtsextreme verbreiteten die Dolchstoßlegende gegen die „Novemberverbrecher“, was zu politischen Morden und Putschversuchen führte . Auch kommunistische Aufstände wie der Ruhraufstand 1920, die Märzkämpfe in Mitteldeutschland 1921 und der Hamburger Aufstand 1923 sorgten für Instabilität. Unzureichende Reparationsleistungen nahmen Belgien und Frankreich zum Anlass der Ruhrbesetzung von 1923 bis 1925. EOS"
73,"Bos output: ['Am Mobilrechnermarkt gibt viele Marken, relativ wenige Hersteller, produzieren', ' Das liegt daran, namhafte Firmen Auftragsherstellern ) Notebooks einkaufen leicht modifiziert produzieren lassen, eigenem Namen verkaufen', ' Wie groß eigene Anteil Geräteentwicklungen ist, lässt meist schwer abschätzen', ' Viele Notebookfertiger Sitz Entwicklung Taiwan, produziert großen Teil Volksrepublik China', ' Die Zusammenhänge Produzenten, namhaften Hersteller Eigenmarken-Anbieter ändern ständig'] ### Input: Am Mobilrechnermarkt gibt es viele Marken, aber nur relativ wenige Hersteller, die für diese produzieren. Das liegt daran, dass namhafte Firmen bei Auftragsherstellern ) die Notebooks einkaufen oder auch leicht modifiziert produzieren lassen, um sie dann unter eigenem Namen zu verkaufen. Wie groß der eigene Anteil an den Geräteentwicklungen ist, lässt sich meist nur schwer abschätzen. Viele Notebookfertiger haben ihren Sitz und die Entwicklung in Taiwan, produziert wird zum großen Teil in der Volksrepublik China. Die Zusammenhänge der Produzenten, namhaften Hersteller und Eigenmarken-Anbieter ändern sich ständig. EOS"
74,"Bos output: ['Laut Studie amerikanischen Wissenschaftlers Jonathan Koomey Rechenzentren weltweiten Stromverbrauch 1,1 1,5 Prozent beteiligt, USA Schätzung 2,2 Prozent', ' Das Borderstep Institut geht Rechenzentren Deutschland 2 Prozent gesamten Stromverbrauchs Jahr 2015 – Raum Frankfurt läge sogar 20 Prozent'] ### Input: Laut einer Studie des amerikanischen Wissenschaftlers Jonathan Koomey sind Rechenzentren am weltweiten Stromverbrauch zwischen 1,1 bis 1,5 Prozent beteiligt, in den USA seiner Schätzung nach bis zu 2,2 Prozent. Das Borderstep Institut geht für die Rechenzentren in Deutschland von 2 Prozent des gesamten Stromverbrauchs im Jahr 2015 aus – im Raum Frankfurt läge dieser sogar bei bis zu 20 Prozent. EOS"
75,"Bos output: ['In Thüringen wurde 2009 Basis Werte 31', ' Dezember 2008 Bevölkerungsprognose aufgestellt', ' Für Jahr 2009 wurde Wanderungssaldo –13', '000 Personen ) Jahr 2010 –11', '800 Personen prognostiziert', ' Damit lag Abweichung Wanderungen schon zweiten Prognosejahr 50 %', ' Fortgesetzt fünf, zehn zwanzig Jahre Ungenauigkeit groß, Aussagekraft Bevölkerungsprognose stark absinkt', ' Das Beispiel zeigt, Wanderungsbewegungen Zukunft schwer prognostizieren stark kurzfristigen Faktoren abhängen', ' Für Jahr 2011 Faktoren etwa Aussetzung Wehrpflicht, Öffnung Arbeitsmarkts Osteuropäer doppelten Abiturjahrgänge westdeutschen Bundesländern', ' Entscheidend Entwicklung Konjunktur, ebenfalls nicht Jahrzehnte Zukunft prognostizieren lässt', ' Diese Faktoren gelten Bevölkerungsprognosen deutschen Länder'] ### Input: In Thüringen wurde 2009 auf Basis der Werte vom 31. Dezember 2008 eine Bevölkerungsprognose aufgestellt. Für das Jahr 2009 wurde ein Wanderungssaldo von –13.000 Personen ) und für das Jahr 2010 von –11.800 Personen prognostiziert. Damit lag die Abweichung bei den Wanderungen schon im zweiten Prognosejahr bei über 50 %. Fortgesetzt über fünf, zehn oder zwanzig Jahre würde die Ungenauigkeit so groß, dass die Aussagekraft einer solchen Bevölkerungsprognose stark absinkt. Das Beispiel zeigt, dass die Wanderungsbewegungen der Zukunft schwer zu prognostizieren sind und stark von kurzfristigen Faktoren abhängen. Für das Jahr 2011 sind solche Faktoren etwa die Aussetzung der Wehrpflicht, die Öffnung des Arbeitsmarkts für Osteuropäer oder die doppelten Abiturjahrgänge in einigen westdeutschen Bundesländern. Entscheidend ist auch die Entwicklung der Konjunktur, die sich ebenfalls nicht über Jahrzehnte in die Zukunft prognostizieren lässt. Diese Faktoren gelten auch für die Bevölkerungsprognosen der anderen deutschen Länder. EOS"
